long,lat,region_id
-46.67664,-23.4821,1
-46.67665,-23.48211,1
-46.67672,-23.48214,1
-46.67687,-23.48221,1
-46.6775,-23.4825,1
-46.67764,-23.48256,1
-46.6778,-23.48263,1
-46.67825,-23.48285,1
-46.67878,-23.48312,1
-46.67887,-23.48318,1
-46.67892,-23.48321,1
-46.67913,-23.48337,1
-46.67919,-23.48342,1
-46.67932,-23.48353,1
-46.67952,-23.48373,1
-46.67954,-23.48375,1
-46.67955,-23.48376,1
-46.67963,-23.48384,1
-46.67973,-23.48395,1
-46.67984,-23.48406,1
-46.68002,-23.48425,1
-46.68029,-23.48453,1
-46.68038,-23.48463,1
-46.68044,-23.48471,1
-46.68051,-23.4848,1
-46.68058,-23.48488,1
-46.68073,-23.48503,1
-46.68091,-23.48523,1
-46.68097,-23.4853,1
-46.68131,-23.48566,1
-46.68135,-23.4857,1
-46.68175,-23.48612,1
-46.68188,-23.48626,1
-46.68191,-23.48629,1
-46.68202,-23.48641,1
-46.68213,-23.48652,1
-46.68244,-23.48682,1
-46.68267,-23.48708,1
-46.68278,-23.4872,1
-46.68281,-23.48724,1
-46.6829,-23.48734,1
-46.68394,-23.48842,1
-46.68432,-23.48884,1
-46.68434,-23.48886,1
-46.68456,-23.4891,1
-46.68464,-23.48921,1
-46.68471,-23.48929,1
-46.68474,-23.48934,1
-46.68475,-23.48935,1
-46.68483,-23.48948,1
-46.68484,-23.48949,1
-46.68495,-23.48967,1
-46.68499,-23.48973,1
-46.68506,-23.48985,1
-46.68516,-23.49004,1
-46.68524,-23.49021,1
-46.68529,-23.49033,1
-46.68535,-23.49051,1
-46.68543,-23.49074,1
-46.68549,-23.49097,1
-46.68556,-23.49174,1
-46.68556,-23.49185,1
-46.68555,-23.4919,1
-46.68555,-23.49193,1
-46.68551,-23.49226,1
-46.68548,-23.49248,1
-46.68543,-23.49276,1
-46.68528,-23.49342,1
-46.68505,-23.49442,1
-46.68484,-23.49534,1
-46.68479,-23.49557,1
-46.68474,-23.49578,1
-46.68472,-23.49591,1
-46.68468,-23.49617,1
-46.68467,-23.49636,1
-46.68468,-23.49659,1
-46.68469,-23.49679,1
-46.68473,-23.49702,1
-46.68475,-23.49714,1
-46.68481,-23.49733,1
-46.68487,-23.49751,1
-46.68493,-23.49765,1
-46.68499,-23.49778,1
-46.68509,-23.49797,1
-46.68516,-23.49808,1
-46.68522,-23.49817,1
-46.68538,-23.4984,1
-46.68549,-23.49856,1
-46.68568,-23.49883,1
-46.68589,-23.49914,1
-46.68606,-23.49936,1
-46.6861,-23.49943,1
-46.68614,-23.49949,1
-46.68623,-23.49964,1
-46.68634,-23.49983,1
-46.6864,-23.49996,1
-46.68644,-23.50003,1
-46.68657,-23.50026,1
-46.68662,-23.50035,1
-46.68667,-23.50045,1
-46.68671,-23.50054,1
-46.68674,-23.50059,1
-46.68676,-23.50062,1
-46.68679,-23.50068,1
-46.68684,-23.50077,1
-46.68695,-23.50097,1
-46.68698,-23.50104,1
-46.68719,-23.50148,1
-46.68726,-23.50162,1
-46.68735,-23.50181,1
-46.6876,-23.50231,1
-46.68776,-23.50264,1
