stop,lat,long,region_id,list_index,video_index,video_date
Av. Giovanni Gronchi - Estádio do Morumbi,-23.598921,-46.720907,8,303,kfyaiOfLKnU,2021-03-10
Praça Panamericana - Alto de Pinheiros,-23.554104,-46.708468,9,302,iAS5U3K2owk,2021-03-09
R. Doutor José Elias - Alto da Lapa,-23.531524,-46.716004,9,301,g284sXpL8iY,2021-03-08
Av. Morumbi,-23.6038547,-46.7122817,8,300,1Kpe4ZrXIfA,2021-03-07
Av. Anhaia Mello,-23.582535,-46.565811,5,299,8algMvfzP2A,2021-03-06
Av. Doutor Arnaldo,-23.5545585,-46.6701148,9,298,CSnivKx9Uhw,2021-03-05
R. Cardeal Arcoverde,-23.559445,-46.6847946,9,296,6AhHHOaHeUQ,2021-03-03
Av. Lins de Vasconcelos,-23.57683,-46.62370,9,295,1OaKVDt4Weg,2021-03-02
R. John Harrison,-23.518508,-46.708547,9,294,QuMCuGCIfUY,2021-03-01
R. Teodoro Sampaio,-23.5582901,-46.6786128,9,293,7zAzAN-exFE,2021-02-28
Av. Lacerda Franco,-23.5756,-46.62491,9,292,mhfncDN_tfg,2021-02-27
Largo da Batata,-23.5671656,-46.6940183,9,291,Vcex8sFDq74,2021-02-26
R. Loefgren,-23.599687,-46.642655,9,289,9B7ig0Z66qA,2021-02-24
Av. Rubem Berta,-23.607706,-46.652211,9,287,PhWj1PIm-98,2021-02-22
Av. Dom Pedro I,-23.5749928,-46.610657,9,286,Yr1wsLDCkyY,2021-02-21
Shopping Mooca Plaza,-23.5816788,-46.5925313,9,284,Axk4pADXmL4,2021-02-20
Estação de Transferência Santo Amaro/Brooklin,-23.6261833,-46.6877436,7,276,KD_7DJ-tTf0,2021-02-13
Av. Cupecê,-23.6814915,-46.6378503,6,270,qSbkYydnYiw,2021-02-08
Shopping Aricanduva,-23.564679,-46.506384,4,269,ipBQHqZEvGI,2021-02-07
Term. de Ônibus - Estação Corinthians-Itaquera,-23.54201,-46.47117,4,267,6P1dPMtmK7g,2021-02-06
Term. de Ônibus - Estação Artur Alvim,-23.5402867,-46.4836971,3,265,Y0bnYPyA61U,2021-02-05
Shopping Morumbi,-23.6233223,-46.6997132,7,260,XOKcpqUNfLA,2021-01-28
Av. Faria Lima,-23.577505,-46.686513,9,257,7VSpjVR1eh8,2021-01-18
Túnel da Av. Raimundo Pereira de Magalhães,-23.52015,-46.71160,9,256,wvXS3D_3NoM,2021-01-14
Estação Tatuapé - Term. Norte,-23.5398,-46.576867,3,253,U3E_En6TpZw,2021-01-02
Av. Ibirapuera,-23.595082,-46.654019,9,239,oCeLtjV60Nc,2020-11-08
Praça IV Centenário - Santo André/SP,-23.6557831,-46.5328495,11,235,Wty1LL4UlDo,2020-10-27
Term. Vila Luzita - Santo André/SP,-23.6992792,-46.5055353,11,234,HKKhTwVWFxo,2020-10-24
Av. Imirim,-23.474517,-46.666279,2,232,L6R4QZmnNtw,2020-10-18
Morro Doce,-23.447038,-46.798752,1,231,miKxyFDzo-A,2020-10-15
Term. Piraporinha - Diadema/SP,-23.691671,-46.5849429,13,230,crgR65JNC6Q,2020-10-12
Estação Portuguesa-Tietê,-23.5161714,-46.6249816,2,226,laBt8xKUz8M,2020-09-27
Jabaquara,-23.64672,-46.64055,6,222,nQwdHRM41MY,2020-08-31
Term. Diadema,-23.6841821,-46.6266338,13,221,X9ZxPcdlZEQ,2020-08-28
Estação Parada Inglesa,-23.4868368,-46.6082988,2,221,f9ZIkL9DA44,2020-08-25
Estação Jardim São Paulo,-23.4928369,-46.617702,2,219,dNqTSyAUcRc,2020-08-22
Estação Vila Mariana,-23.58968,-46.63436,9,218,m9vgnUa42NQ,2020-08-19
Estação Ana Rosa,-23.581949,-46.638442,9,217,Q8dtWYfNOzA,2020-08-16
Av. São Miguel,-23.5216864,-46.5259483,3,215,4hA4AMX0pSA,2020-08-10
Av. Cangaíba,-23.519192,-46.546611,3,213,r6u5G4ivyfc,2020-08-04
Estação Praça da Árvore,-23.61069,-46.63745,9,211,1ZjgSlrpmDE,2020-07-29
Capão Redondo,-23.65949,-46.76680,7,210,Z_lNz2G7Xf0,2020-07-26
Term. Capelinha,-23.65539,-46.76144,7,209,hx8lXrNdkaE,2020-07-23
Av. Paulista,-23.5602878,-46.6575309,9,207,beAo1u1xC-E,2020-07-16
Av. Guapira,-23.480549,-46.600447,2,205,j4_-YyrC2io,2020-07-10
Av. Vital Brasil,-23.5704403,-46.710709,8,204,_KMSCuYSvPo,2020-07-04
São Mateus,-23.61247,-46.47589,4,203,xWiToDMK4_k,2020-07-02
Praça Doutor Sampaio Vidal,-23.567317,-46.541184,4,202,CQOmF-FqsI4,2020-06-26
Jardim Grimaldi,-23.598972,-46.516201,5,201,nn2GrbvwRR4,2020-06-20
Av. Vereador José Diniz,-23.636785,-46.69352,6,200,VGh_K-kvwZ4,2020-06-20
Jardim Ângela,-23.693101,-46.778669,7,199,BzcGe-QIUqs,2020-06-16
Cambuci,-23.562475,-46.621212,9,198,LxRqI2L_Org,2020-06-10
Av. 23 de Maio,-23.5728266,-46.641296,9,197,bw3bj5H5NpU,2020-06-08
Largo São Francisco,-23.55209,-46.63780,9,196,_w2MbH4oylA,2020-06-06
Av. Rio Das Pedras,-23.5809112,-46.4988047,4,195,7IbLx2mkprI,2020-06-04
Vila Clementino,-23.597781,-46.649678,9,194,Ul2l_e5LZPE,2020-05-31
Praça da República,-23.542872,-46.643455,9,193,H2QxjprGql4,2020-05-29
Av. Aricanduva,-23.5656301,-46.50707,4,192,M1dNutm-L44,2020-05-21
Av. Eng. Luís Carlos Berrini,-23.59748,-46.69104,7,191,7w6dwE-xxbM,2020-05-09
Term. Ferrazópolis - São Bernardo do Campo/SP,-23.7206166,-46.5510299,11,170,QNNuaxwLLSU,2020-01-14
Term. São Bernardo do Campo,-23.69780,-46.55222,11,169,QDglCdkif68,2020-01-10
Cantareira Norte Shopping,-23.445447,-46.722482,2,160,09Ia_q8-_8M,2020-10-08
Estação Jardim Planalto - Linha 15-Prata,-23.606696,-46.507702,5,159,04dms_wcEIs,2019-10-02
Shopping Interlagos,-23.6735197,-46.6775368,6,158,O0qyEIhDE8I,2019-09-26
Shopping Eldorado - Av. Eusébio Matoso,,9,156,ZyA6pM1tCb4,2019-09-14
Praça Pedro Corazza,-23.51510,-46.69032,9,155,T4bU5AANALE,2019-09-02
Shopping Anália Franco,-23.561985!4d-46.561399,4,154,fj2XSDuF7ks,2019-08-21
Viaduto do Chá,-23.54701,-46.63717,9,152,Wtrr5Qc5nC8,2019-07-25
Praça da Sé,-23.54921,-46.63356,9,151,DbbVL7MSUdo,2019-07-04
Term. de Santo André/SP (Oeste),-23.65244,-46.52974,10,150,_seor-dViHs,2019-06-28
Av. Professor Francisco Morato,-23.58645,-46.72399,8,148,MqdGTcils_w,2019-05-11
Av. Conselheiro Carrão,-23.548645,-46.537346,4,147,2vr3nedSdCk,2019-05-05
Av. Guilherme Cotching,-23.51295,-46.58547,2,146,E_V_0IwFZqg,2019-04-27
Av. Nazaré,-23.60206,-46.60944,9,145,3gX3V5eWTx8,2019-04-25
